Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2013,White,Foreign Used,Automatic,86532.0,990000,Nairobi
Nissan,2015,White,Foreign Used,Automatic,78596.0,850000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,65400.0,1500000,Mombasa
Nissan,1994,Silver,Foreign Used,Automatic,115000.0,1180000,Nairobi
Nissan,2012,Silver,Foreign Used,Automatic,86532.0,670000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,164371.0,900000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,1190000,Kiambu
Nissan,2014,Silver,Foreign Used,Automatic,80000.0,1250000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,75234.0,880000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,92258.0,1850000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,145336.0,880000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,100809.0,1050000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,62000.0,920000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,89000.0,780000,Mombasa
Nissan,2014,Purple,Foreign Used,Automatic,86532.0,1480000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,98000.0,2290000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,115000.0,1930000,Nairobi
Nissan,2014,Red,Foreign Used,Automatic,86532.0,795000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,89100.0,1150000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,72100.0,1150000,Mombasa
Nissan,2013,White,Foreign Used,Automatic,98412.0,870000,Mombasa
Nissan,2013,White,Foreign Used,Automatic,36000.0,700000,Mombasa
Nissan,2014,Blue,Foreign Used,Automatic,85230.0,830000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,780000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,45000.0,2199999,Nairobi
Nissan,2013,Yellow,Foreign Used,Automatic,73000.0,680000,Mombasa
Nissan,2013,White,Foreign Used,Automatic,89617.0,1100000,Mombasa
Nissan,2014,Red,Foreign Used,Automatic,86532.0,1350000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,60000.0,800000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,699999,Nairobi
Nissan,2015,Blue,Foreign Used,Automatic,76145.0,780000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,72000.0,2100000,Nairobi
Nissan,2015,Pearl,Foreign Used,Automatic,86532.0,870000,Nairobi
Nissan,2014,Purple,Foreign Used,Automatic,86532.0,1480000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,45000.0,2199999,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,74000.0,1239000,Nairobi
Nissan,2015,Burgandy,Foreign Used,Automatic,65210.0,1300000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,85636.0,850000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,164371.0,900000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,96971.0,1200000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,69560.0,1500000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,82500.0,1950000,Mombasa
Nissan,2013,Brown,Foreign Used,Automatic,92845.0,2150000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,800000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,90406.0,1900000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,54212.0,1300000,Mombasa
Nissan,2011,White,Foreign Used,Automatic,125301.0,495000,Nairobi
Nissan,2015,Red,Foreign Used,Automatic,91457.0,2095000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,76000.0,1700000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,62354.0,700000,Mombasa
